100000;;;;;;;;
200;;;;;;;;
vMe89SmM;2;Kalisz;0;8;12;83;82;11
kedm5NsO;3;Radom;1;98;48;38;48;89
Wxi4Rxnk;1;Olsztyn;1;98;94;72;73;83
QBD0iofk;1;Swinoujscie;1;20;73;54;6;75
vKO4YUip;3;Chelm;0;43;92;54;90;55
qhDxYAEf;3;Kielce;1;38;68;40;56;44
KD2h7pvX;2;Kalisz;0;89;56;32;66;11
omM9mxcg;1;Gdansk;0;5;67;29;27;14
XDbCUsb9;2;Wroclaw;1;24;82;96;29;64
VmwGHYte;3;Bialystok;0;94;94;83;76;86
mUftQFP8;2;Poznan;0;20;90;62;19;2
t0jbLgUn;1;Sopot;1;52;9;5;82;73
wIPliLbO;3;Krakow;1;19;13;83;0;20
9W5P2VFd;2;Warszawa;1;21;79;19;51;15
OWBexMpE;2;Wroclawek;0;29;2;35;76;48
U3pekPt2;1;Choinice;0;58;22;45;24;22
J1MGyYTx;2;Wroclawek;1;18;63;57;70;28
EJX6xtWC;1;Swinoujscie;0;99;43;66;57;71
B7mtcdRW;3;Sandomierz;0;59;25;72;22;19
i28LnIff;1;Sopot;1;70;91;34;42;9
4Wb5wPJv;2;Gniezno;0;0;70;36;23;58
HBT1ylgs;3;Rzeszow;1;15;83;91;38;12
XOhbyBrk;3;Tarnow;1;99;11;90;15;97
Nuayv5LK;3;Lublin;1;100;66;92;89;7
6YkXdPnf;2;Wroclawek;1;99;56;61;26;12
dL6k7yy9;1;Gdansk;1;6;29;52;14;63
K2YU26Mg;3;Radom;1;50;91;7;74;52
d5UiS9e4;1;Kolobrzeg;1;38;91;1;8;5
qGqCWA2G;1;Hel;1;93;62;63;79;74
xjVyXdcH;2;Wroclawek;1;60;81;60;85;40
EsdeGTG4;1;Sopot;0;3;72;0;53;20
MSgaDp9u;3;Bialystok;1;40;87;30;55;32
M4gNXbry;1;Elblag;1;16;51;26;91;91
RmnOAXqr;2;Lodz;1;68;10;46;27;25
y1EvvpER;2;Wroclaw;0;2;86;76;40;63
LLbtSWm2;2;Walbrzych;1;96;26;60;17;78
vP8TbCM9;1;Gdynia;0;93;78;71;47;87
mDwc1YkQ;2;Gniezno;0;63;17;93;84;19
DAd760bo;3;Chelm;1;38;42;20;79;26
tmvop014;3;Katowice;1;16;30;12;48;59
qaxpAsHm;3;Katowice;0;67;6;49;28;68
QaJH6nSR;2;Karpacz;0;36;77;44;31;62
pHRMBSmY;2;Karpacz;1;68;13;40;57;70
ctFEpKW1;3;Przemysl;0;93;85;72;92;78
92D797VC;2;Lubin;1;50;21;80;65;59
dis8TCIK;3;Katowice;1;76;40;38;12;11
D5vSUDEi;1;Sopot;1;12;11;10;74;31
alFa5235;2;Boleslawiec;1;94;99;1;2;50
9BfMJh6f;2;Lubin;0;1;55;48;77;8
1viq2SHW;1;Kolobrzeg;0;61;85;64;49;49
MlHHJaLt;1;Sopot;1;41;64;95;4;81
ufW3olM8;1;Hel;1;39;70;43;10;79
0DCPRN6N;2;Kalisz;0;75;49;84;53;98
pA6sxpca;1;Swinoujscie;0;94;50;60;39;79
